art;pr
7511.1004045-02;7517.639999999999
7511.1004045-20;7664.04
236-1004052-Б2;1410.32
236-1004062-Б3;606.34
236-1004063-Б3;880.84
8401.1004118;1546.96
65801.1004118-10;509.96
8401.1004126;79.3
240-1005000-А2;340370.24
7511.1005004;35046.94
236-1005009-Ж;180474.6
236Д-1005009-Б;178056.56
238-1005009-Г3;217336.9
238-1005009-Д1;216784.24
238ДК-1005009-30;218323.88
7601.1005009;217350.32
7601.1005009-10;217361.3
840.1005010;354089.14
845.1005010;356504.74
850.1005010;358988.66
238Б-1005030;2008.12
240-1005030-Б2;3087.8199999999997
236-1005042;214.72
240-1005042-Б;653.92
236-1005043;129.32
850.1005043;84.17999999999999
238АК-1005050-20;94022.95999999999
7511.1005050;30176.7
7511.1005052;9293.96
7601.1005052;10749.42
236-1005055;640.5
236-1005056-А;61
238АК-1005057-01;793
236-1005061-Б;2738.9
236-1005061-В;2953.62
236НЕ-1005061-Б;5685.2
238П-1005061;4492.04
238П-1005061-Б2;4899.5199999999995
238НБ-1005061;2691.32
7511.1005061;7055.26
840.1005061;11749.82
840.1005061-10;12860.02
840.1005061-11;12801.46
845.1005061;14621.699999999999
850.1005061;8075.179999999999
238АК-1005062;2252.12
7511.1005062;997.9599999999999
840.1005062-01;1449.36
850.1005062;1204.1399999999999
855.1005062;530.6999999999999
201-1005066;146.4
238АК-1005066;1855.62
240-1005070-Б1;29947.34
7511.1005070;27869.68
840.1005070-01;34717.54
855.1005070;24708.66
240-1005078;30.5
240-1005079-Б;5991.42
7511.1005079;245.22
240-1005086-Б2;1057.74
238АК-1005089;136.64
240-1005089-А;136.64
238АК-1005090;298.9
240-1005094-Б;8298.44
7511.1005094;11288.66
240-1005096-Б;2238.7
7511.1005096;1760.46
236-1005115-Л;42720.74
236-1005115-Н;42836.64
236-1005115-Н4;41930.18
236Д-1005115-Б;45279.08
238-1005115-Л;45309.58
238-1005115-Н;45342.52
238-1005115-Н4;44042
238НБ-1005115-Д;44070.06
240-1005115-Б;44373.84
240-1005115-В;44728.86
656.1005115;43299.02
658.1005115;44670.299999999996
840.1005115-11;85748.92
845.1005118-10;84022.62
8502.1005115;88304.81999999999
236Д-1005121;7500.5599999999995
840.1005122;466.03999999999996
236-1005125-В2;8482.66
840.1005125-10;9331.78
236Д-1005127;424.56
7511.1005127;280.59999999999997
236-1005128-А;54.9
840.1005128;619.76
236-1005129-Б;85.39999999999999
236Д-1005132;719.8
7511.1005132;675.88
7511.1005137;607.56
7511.1005137-10;444.08
236-1005140-В;2821.86
236-1005143-В;3034.14
236-1005152-Г;2785.2599999999998
236-1701074-10;1301.74
238-1005156;3189.08
236-1005159;836.92
201-1005169;64.66
236-1005169;152.5
840.1005169;52.46
