art;pr
135.1111412;201.29999999999998
136.1110331-11;6120.74
136.1110333-10;5237.46
136.1110335-10;35695.979999999996
136.1110336;2936.54
136.1110337;2631.54
136.1110339-12;2174.04
136.1110340;1065.06
136.1110341-10;1688.48
136.1110342-12;1159
136.1110343;1349.32
136.1110345;168.35999999999999
136.1110346;403.82
136.1110347-01;128.1
136.1110350;229.35999999999999
136.1110351;164.7
136.1110352-01;57.339999999999996
136.1110353-12;2174.04
136.1111015-01;53534.82
136.1111055;24134.04
14.1111220;895.48
14.1111224;203.74
14.1111226;335.5
14.1111228;69.53999999999999
145.1111220;563.64
145.1111256;1207.8
161.1111055;21337.8
17.1111020-10;58930.88
17.1111032-10;512.4
17.1111055;21005.96
17.1111110;4889.76
17.1111114-01;2918.24
17.1111118;442.86
17.1111129;224.48
17.1111130-02;7337.08
17.1111130-04;8784
17.1111130-22;7337.08
17.1111133;6287.88
17.1111138;312.32
17.1111148;67.1
17.1111167-03;437.98
17.1111172;749.0799999999999
17.1111174-04;910.12
17.1111220;1190.72
17.1111256;689.3
173.1110125-20;12268.32
175.1110070;1279.78
175.1110070-10;1279.78
175.1110125;12681.9
175.1110125-40;10072.32
175.1110130;1033.34
175.1110227;98.82
175.1110263-30;897.92
175.1110300;4417.62
175.1110320;662.46
175.1110406-11;1606.74
175.1110412;812.52
175.1110414;161.04
175.1110464;248.88
175.1110467;712.48
175.1110497;1257.82
175.1111020-20;64352.56
175.1111021-20;64352.56
175.1111021-30;64352.56
175.1111024;250.1
175.1111055;17177.6
175.1111055-10;12611.14
175.1111070-10;2181.36
175.1111072;1655.54
175.1111130-04;7833.62
175.1111164-01;111.02
175.1111164-05;130.54
175.1111165-01;152.5
175.1111165-05;130.54
175.1111166-01;115.89999999999999
175.1111166-05;115.89999999999999
175.1111454;1671.3999999999999
53.1111455-10;514.84
53.1111455-74;692.96
177.1111021-20;65604.28
177.1111055;14138.58
177.1111130;7130.9
177.1111132;6134.16
177.1111139;115.89999999999999
177.1111139-01;82.96
177.1111234-01;157.38
177.1111256;383.08
177.1111280-01;183
179.1111015-01;57969.52
18.1112024;1259.04
18.1112382;223.26
18.1112384;209.84
185.1110380;474.58
185.1110406-01;1690.92
185.1111020-20;72892.56
185.1111055;31005.079999999998
185.1111147-01;1736.06
200-1704027;13.42
201-1005038-Г4;47.58
201-1307034А;141.52
2108-1602254;54.9
236-1005164-Б;115.89999999999999
236-1011058-Б;132.98
236-1011368-В;106.14
236-1029242-А;39.04
236-1106213-Б;1570.1399999999999
236-1106240-В;517.28
236-1106246-Б;135.42
236-1106256;12.2
236-1106342;52.46
236-1110040-А2;4377.36
236-1110045;790.56
236-1110046-Б;1047.98
236-1110049;152.5
236-1110051-В;461.15999999999997
236-1110060-А3;1664.08
236-1110065-Б;525.8199999999999
236-1110088;176.9
236-1110089;8.54
236-1110134-Б;178.12
236-1110136-Б;335.5
236-1110140;96.38
236-1110141;30.5
236-1110151;398.94
236-1110154-А2;269.62
236-1110154-А3;269.62
236-1110200;136.64
236-1110376;178.12
236-1110390;173.24
236-1110392;186.66
236-1110394-А;37.82
236-1110396;75.64
236-1110398;161.04
236-1110433;235.46
236-1110454;226.92
236-1110455;246.44
236-1110471;58.56
236-1110476-Б;275.71999999999997
236-1110482;41.48
236-1110490;92.72
236-1110499-А3;218.38
236-1110499-А4;335.5
236-1110499-А5;218.38
236-1110512;1599.42
236-1110516-Б3;997.9599999999999
236-1110517-Б2;56.12
236-1110518-Б;417.24
236-1110532;178.12
236-1110558-В;790.56
236-1111040;722.24
236-1111122;128.1
236-1111148-Б5;226.92
236-1111177-Б3;452.62
236-1111193;39.04
236-1111194;52.46
236-1111195;141.52
236-1111196;103.7
236-1111226-А2;250.1
236-1111245;37.82
236-1112134-Б3;222.04
236-1112140;162.26
236-1112143-Б;229.35999999999999
236-1112168-Б;145.18
236-1112172;12.2
236-1112200-01;536.8
236-1112204-10;323.3
236-1112208;212.28
236-1112225-Б2;214.72
236-1121070-Б;172.02
236-1121072;58.56
236-1308398;93.94
236-1308618;211.06
236-1308620;150.06
236-1308635;164.7
236М-1111083-А;90.28
236М-1111083-А2;90.28
236М-1111282;832.04
238-1111040;867.42
238-1111226-А2;254.98
238-1601102-В;143.96
238НБ-1110151;313.54
238НБ-1110406-А2;1278.56
240-1106285-01;68.32
240-1110040-А;4054.06
240-1110045;753.96
240-1111024;585.6
240-1111040;1089.46
240-1111226-01;258.64
240-1112204;233.01999999999998
240-1307094-А;41.48
240Б-1110125-А3;9714.86
240Б-1110151;392.84
240Б-1110414-Б;78.08
240Б-1110416;152.5
240Н-1110878;363.56
240Н-1111132;173.24
240Н-1111133;973.56
240Н-1111134;97.6
25 3111 2013;31.72
25 3111 2015;14.64
25 3111 2221;136.64
25 3131 2454;170.79999999999998
252154-П29;2.44
260003;115.89999999999999
26.1112020;1089.46
26.1112116;250.1
26.1112166;254.98
262.1112020;1604.3
267.1112024-10;1577.46
267.1112116-10;259.86
267.1112134-10;120.78
267.1112136-10;156.16
267.1112150-02;867.42
267.1112150-05;810.0799999999999
267.1112154-10;273.28
267.1112166;311.09999999999997
267.1112382-30;1061.3999999999999
274.1112150;618.54
274.1112382-01;915
275.1112135;43.92
275.1112140-02;187.88
275.1112174;197.64
275.1112382;1376.16
310139;125.66
310140;132.98
320.21021;93.94
320.21022;93.94
310142;147.62
310308;150.06
310600-П29;115.89999999999999
310612-П29;141.52
310704;42.699999999999996
311200-П29;98.82
311415-П;128.1
312347;14.64
312370-П15;39.04
312370-П29;20.74
312439-П15;37.82
312529-П15;39.04
312556;76.86
312652-П15;25.62
313447-П;57.339999999999996
313955;108.58
314003-П;152.5
316186-П29;185.44
316700-П;125.66
316701-П;134.2
316702-П;147.62
318-85211;137.85999999999999
318-85418;34.16
318-85557;69.53999999999999
32.1110024;2840.16
32.1110184;444.08
32.1110956;39.04
32.1111098;264.74
320.21014;41.48
320.21016;162.26
320.21025;107.36
320.22027;98.82
320.23004;200.07999999999998
320.24001;157.38
320.31007;174.46
320.35004;98.82
320.88163;111.02
320.88226;168.35999999999999
320.88236;224.48
320.88333;42.699999999999996
320.88602;170.79999999999998
320.88605;14.64
320.88696;111.02
320.88702;78.08
320.88703;75.64
320.88704;75.64
320.88705;79.3
320-88720;14.64
320.88726;128.1
320-88727;20.74
320.88754;156.16
320.88756;97.6
320-88784;131.76
320-88785;131.76
320-88786;125.66
320-88787;115.89999999999999
320-88788;114.67999999999999
320-88789;119.56
320-88790;108.58
320-88791;108.58
320-88792;104.92
320-88793;108.58
320-88794;101.25999999999999
320-88795;104.92
320-88796;104.92
320-88802;141.52
320.88806;254.98
323.1110160-30;3124.42
323.1110160-30.01;3272.04
323.1111020;48773.159999999996
323.1111028;223.26
323.1111039-01;5264.3
323.1111039-01.01;5264.3
323.1111090;546.56
323.1111180;664.9
323.1111181;657.58
323.1111220-10;697.84
323.1111220-10.01;697.84
323.1111228;75.64
323.1111234;111.02
323.1111256-10;300.12
324.1111039;7982.46
324.1111039-01;7982.46
324.1111039-01.01;7982.46
324.1111039-10.01;7418.82
324.1111055;12563.56
324.1111056;39.04
324.1111135;97.6
324.1111172-01;477.02
33.1106228;470.92
33.1106232-02;203.74
33.1106234-10;390.4
33.1106240;773.48
33.1106244;98.82
33.1106245-10;75.64
33.1106248;125.66
33.1106264;278.15999999999997
33.1106268;107.36
33.1106272;100.03999999999999
33.1106276;400.15999999999997
33.1106285;111.02
33.1106296;309.88
33.1106322;378.2
33.1106350-01;1256.6
33.1106352;311.09999999999997
33.1106356;475.8
33.1106376-10;329.4
33.1106377;122
33.1106377-01;70.76
33.1106379;151.28
33.1106904;12.2
33.1106920-03;161.04
33.1110024;3908.88
33.1110025;1266.36
33.1110026;262.3
33.1110040-20;4594.5199999999995
33.1110045-10;1005.28
33.1110046-12;1504.26
33.1110049;134.2
33.1110056-01;135.42
33.1110060;566.08
33.1110065-11;250.1
33.1110088;172.02
33.1110089;132.98
33.1110117;114.67999999999999
33.1110128;3685.62
33.1110129;2267.98
33.1110150;588.04
33.1110160-01;3126.86
33.1110164;1129.72
33.1110176;54.9
33.1110312;265.96
33.1110314;208.62
33.1110316;187.88
33.1110326;85.39999999999999
33.1110396-01;54.9
33.1110412-10;178.12
33.1110414;85.39999999999999
33.1110416;85.39999999999999
33.1110420;179.34
33.1110429;183
33.1110448;76.86
33.1110462-10;229.35999999999999
33.1110466;1123.62
33.1110467;401.38
33.1110476;248.88
33.1110505;218.38
33.1110515-10;1216.34
33.1110517-10;111.02
33.1110521;716.14
33.1110545;148.84
33.1110596;511.18
33.1110656;81.74
33.1110670;1201.7
33.1110949;45.14
33.1110949-01;64.66
33.1110952;45.14
33.1110954;43.92
33.1110958;131.76
33.1110961;39.04
33.1111021-01;32820.44
33.1111022-10;30966.04
33.1111028;297.68
33.1111032;191.54
33.1111042-01;229.35999999999999
33.1111044-10;132.98
33.1111047-20;106.14
33.1111050-02;3098.7999999999997
33.1111050-02.01;3098.7999999999997
33.1111051-10;2430.24
33.1111051-10.01;2430.24
