Номенклатура;Остатки
7511.1117075 Фильтр сменный топливный;
8.8446 661. 3710-02 Термореле;1
8.8972 Болт пустотелый 1631 01-М10х1-S01 (CAMOZZI);56
8.8973 Шайба 2651 М10 (CAMOZZI);135
8.8991 Болт пустотелый 1631 01-М14х1,5-S01 (CAMOZZI);
8.8992 Болт пустотелый 1631 02-М14х1,5-S01 (CAMOZZI);
8.8994 Болт пустотелый 1631 02-М10х1-S01 (CAMOZZI);20
8.9526 Болт пустотелый 1631 01-М16х1,5-S01 (CAMOZZI);
8252.59.2530.32.0000.0000.19.33.40.01 Датчик давления;1
840.1000001 К-т прокладок на дв. ТМЗ паронит (дв.8421-8426);2
840.1000001-01 Р/к РТИ дв. ТМЗ 8421-8486 (без упл.гильзы и ГБЦ);
840.1000102 Вкладыши коренных подшипников (ЯМЗ);5
840.1000102-Р1 Вкладыши коренных подшипников Р-1;1
840.1000102-Р2 Вкладыши коренных подшипников Р-2;1
840.1000104 Вкладыши шатунных подшипников;6
840.1000104-Р1 Вкладыши шатунных подшипников Р-1;1
840.1000104-Р2 Вкладыши шатунных подшипников Р-2;1
840.1002001-01 К-т упл.колец гильзы (1 гильза);8
840.1002021-11 Гильза цилиндра (ТМЗ);
840.1002040 Кольцо уплотнительное (зел.);1
840.1002040 Кольцо уплотнительное (черн.);1
840.1002524 Заглушка отверстия распределительного вала;2
840.1003010-25 Головка цилиндра с клапанами;
840.1003016-01 Болт (ТМЗ);40
840.1003037-01 Втулка (н/о);14
840.1003108-21 Седло клапана;78
840.1003212-20 Прокладка ГБЦ (мет.кольцо);8
840.1003212-30 Прокладка ГБЦ (мет.кольцо);16
840.1003213-03 Прокладка ГБЦ (металл+фторсиликон,СМ);29
840.1003264 Крышка головки цилиндров;8
840.1003270 Прокладка клапанной крышки;426
840.1003436 Заглушка;890
840.1003436 Заглушка Р1 (26 мм);95
840.1003442 Втулка;
840.1003466 Кольцо газового стыка (ТМЗ);
840.1004062 Болт крышки шатуна;39
840.1004064 Гайка шатуна;117
840.1005023 Болт противовеса (и маховика);48
840.1005030-01 Шестерня коленвала (ТМЗ);
840.1005034 Манжета передняя 100х125 (фторкаучук);5
840.1005062-01 Болт шкива;6
840.1005121-01 Втулка маховика;1
"840.1005128 Пластина (D=14,5; d=62,5; l=3)";
840.1005167 Шпилька крышки;8
840.1005193 Полукольцо упорного подшипника нижн.;18
840.1005194-10 Полукольцо упорного подшипника верх.;18
840.1005440 Фиксатор маховика (ТМЗ);2
840.1005674 Шестерня механизма проворота в сб.;
840.1005688 Колпачок механизма проворота;49
840.1006032-02 Подшипник распредвала;11
840.1006037-10 Втулка;4
840.1006214-01 Шестерня распредвала;1
840.1007010-21 Клапан впускной (Луганск);1
840.1007012-21 Клапан выпускной (Луганск);60
840.1007020 Пружина клапана наружная (ГБЦ) ТМЗ;124
840.1007021 Пружина клапана внутренняя (ГБЦ) аналог;4
840.1007021 Пружина клапана внутренняя (ГБЦ) ТМЗ;161
840.1007022 Шайба наружной пружины (ГБЦ);111
840.1007024 Тарелка пружины (ГБЦ);96
840.1007027 Шайба внутренней пружины (ГБЦ);97
840.1007028 Сухарь клапана (ГБЦ);221
840.1007032 Втулка направляющая;71
840.1007032 Втулка направляющая Р1 (18,5 мм);
840.1007032 Втулка направляющая Р2 (19 мм);
840.1007033 Втулка направляющая;58
840.1007033 Втулка направляющая Р1 (18,5 мм);
840.1007033 Втулка направляющая Р2 (19 мм);
840.1007091 Ось коромысла впуск. кл. (ТМЗ);56
840.1007095 Втулка-штифт (ГБЦ);
840.1007100 Ось коромысла вып. кл.(ТМЗ);60
840.1007106 Стойка оси впускных клапанов;32
840.1007110-02 Коромысло (ТМЗ);
840.1007110-01 Коромысло (ТМЗ);19
840.1007118 Втулка коромысла;7
840.1007136 Пластина стойки;30
840.1007136 Пластина стойки (пескоструй);1
840.1007140-02 Коромысло (ТМЗ);2
840.1007140-01 Коромысло (ТМЗ);13
840.1007147 Винт регулировочный с чашкой;232
840.1007170-10 Палец шаровой;24
840.1007174-02 Штанга толкателя (ТМЗ);33
840.1007174-20 Штанга толкателя глухая (ТМЗ);8
840.1007176-02 Штанга толкателя (ТМЗ);17
840.1007176-20 Штанга толкателя глухая (ТМЗ);8
840.1007180 Толкатель (ТМЗ);3
840.1007190 Ролик толкателя;174
840.1007199 Втулка ролика толкателя;174
840.1007258 Кольцо уплотнительное;20
840.1008027 Прокладка выпускного коллектора;87
840.1008027 Прокладка выпускного коллектора (ТМЗ);30
840.1008328-01 Хомут KVP110 профильный V-образный;2
840.1008504 Болт М10-6Дх70;123
840.1009072 Прокладка картера масляного;3
840.1011054 Клапан системы смазки сливной (ТМЗ);2
840.1011230 Шестерня;1
840.1011296-10 Прокладка;11
840.1011300 Чашка заборника;
840.1011366 Прокладка;9
840.1011538 Трубка подводящая центробежного маслоочистителя (ЯМЗ);4
840.1011544 Прокладка;9
840.1012039-15 Элемент ФГОМ DIFA-5203К Усиленный (мурена);10
840.1012040-12 Элемент ФГОМ DIFA-М5302К (мет.сетка);9
840.1012078-10 Колпак масляного фильтра (ТМЗ);6
840.1012083-10 Кольцо уплотнительное;10
840.1012083-20 Кольцо уплотнительное;12
840.1012293-10 Пробка перепускного клапана (в сборе);5
840.1012293-11 Пробка перепускного клапана (в сборе) глух.;
840.1013001 Р/к водомасляного радиатора 842.1013600;10
840.1013630 Втулка;6
840.1014129 Штуцер сапуна;1
840.1014136 Кольцо упл.стакана сапуна вентиляции картера;
840.1022860 Амортизатор (трубки ЭФУ);
840.1028001 Ремкомплект ФЦОМ 840.1028010 (РТИ,паронит);7
840.1028010 Фильтр ЦОМ в сборе;3
840.1028025 Прокладка;
840.1028035 Корпус ротора ФЦОМ с втулкой в сборе;3
840.1028064 Прокладка 66х53х1;10
840.1029034 Кольцо;
840.1029115-02 Шестерня ведущая (ТМЗ);
840.1029128 Ось ведущей шестерни (ТМЗ);1
840.1029140 Шайба со штифтом;5
