art;sto
611600050048;22
611600050089;24
611600060004;4
611600060006;7
611600060020;33
611600060024;3
611600060025;13
611600060029;19
611600060031;11
611600060038;26
611600060086;4
611600070100;1
611600080036;10
611600110045;19
611600110145;2
611600110190;3
611600150006;21
61200040023;36
612600010990;24
612600012064;4
612600012208;7
612600014193;10
612600020208;2
612600020354;3
612600030010;6
612600030033;30
612600030051;5
612600030053;6
612600030054;21
612600030114;19
612600030116;5
612600040113;168
612600040114;12
612600040355;120
612600040452;2
612600040634;22
612600040639;19
612600040646;48
612600040646;72
612600050073;6
612600061256;11
612600061332;10
612600061349;3
612600061730;22
612600062253;5
612600062413;6
612600062532;10
612600080200;34
612600080246;110
612600081585;2
612600082029;2
612600090460;59
612600090479;1
612600090682;47
612600090766;6
612600090766;7
612600090985;5
612600091027;1
612600110456;199
612600110540;20
612600111113;16
612600112442;175
612600114275;121
612600115353;100
612600115514;48
612600116551;134
612600150106;45
612600150367;3
612600190243;15
612600190763;14
612600190993;48
612600191261;1
612600191988;2
612600192176;731
612600900276;2
612600900277;2
61260110048;22
612630010015;48
612630010050;3
612630010055;105
612630010057;100
612630010065;2
612630010075;36
612630010106;12
612630010107;91
612630010173;29
612630010256;3
612630010566;11
612630010660;10
612630020010;185
612630020010;12
612630020019;6
612630020025;59
612630020029;96
612630020038;2
612630020130;136
612630020152;24
612630020214;212
612630030007;10
612630030007;224
612630030009;82
612630030311;13
612630030405;3
612630040001;5
612630040002;310
612630040022;102
612630040028;33
612630040029;3
612630040072;20
612630040075;30
612630040076;30
612630040117;61
612630040117;297
612630040138;4
612630040144;33
612630040146;9
612630040167;36
612630040181;2
612630040246;6
612630040246;5
612630040250;246
612630040265;526
612630040269;11
612630050001;179
612630050002;186
612630050005;200
612630050009;42
612630050011;24
612630050012;30
612630050013;15
612630050014;2
612630050018;12
612630050061;1
612630050075;60
612630050100;84
612630050146;96
612630050147;18
612630060015;8
612630060039;2
612630060057;6
612630060067;61
612630060068;26
612630060248;2
612630060414;9
612630060537;9
612630060836;1
612630060838;10
612630060881;7
612630061037;34
612630061046;38
612630061061;11
612630061126;32
612630080580;2
612630090006;82
612630090007;136
612630090012;12
612630090028;3
612630090055;18
612630110002;184
612630110024;124
612630110070;33
612630110710;269
612630110710;2
612630110716;4
612630110725;56
612630110736;3
612630110942;88
612630110942;2
612630120002;62
612630190017;8
612639000014;20
612639000039;39
612639000047;19
612639000064;85
612639000072;120
612639000087;2
612640020020;4
612640060023;4
612640060111;13
612640060150;19
612640060235;102
612640080004;2
612640120043;2
612640130013;9
612640130198;5
612640130648;13
612640130719;5
612650020002;17
612650040011;3
612650040023;90
612650040044;10
612650080075;1
612650110003;83
612660010031;13
612700010010;30
612700010021;2
612700010150;16
612700020061;108
612700020061;1
612700020078;5
612700040018;24
614010086;48
614040021;30
614060135;10
614150004;1
61460110056;36
61500010344;24
61500050032;20
61500060226;1
61500060226;2
61500110024;20
61560010029;12
61560020029;5
61560030013;30
61560040057;22
61560080305;7
61560110210;9
61560110242;100
61800010113;2
61800030041;6
61800050151;37
61800060172;29
6462669;1
650-1000104;2
650-1001013;1
650-1002011;5
650-1002016;4
650-1002021;1
650-1002023;34
650-1002024;180
650-1002031;214
650-1002260;1
650-1002312;1
650-1002602;100
650-1002700;2
650-1003012;10
650-1003017;21
650-1003017;8
650-1003256;3
650-1003540;8
650-1004002;1
650-1004013;1
650-1004022;2
650-1004032;4
650-1004121;288
650-1005010;23
650-1005033;2
650-1005041;108
650-1005161;3
650-1005171;5
650-1006015;10
650-1006037;2
650-1007008;19
650-1007012;42
650-1007020;28
650-1007024;38
650-1007088;8
650-1007180;1
650-1007210;2
650-1007262;1000
650-1007262;14
650-1008027;50
650-1008027;2
650-1009010;12
650-1009050-01;24
650-1009058;15
650-1009076;31
650-1009077;7
650-1009404;165
650-1009408;10
650-1011560;274
650-1012075;1
650-1012075;167
650-1013638;156
650-1013642;172
650-1014602;7
650-1014606;118
650-1014608;129
650-1028010;101
650-1028180;272
650-1111005-20;1
650-1111047;137
650-1112010;1
650-1112010;4
650-1112230;2
650-1112433;3
650-1115021;6
650-1115026;5
650-1115027;21
650-1115132;44
